iter	Passed	Remaining
308	10072	22525
309	10094	22467
310	10113	22405
311	10132	22343
312	10207	22404
313	10248	22389
314	10278	22351
315	10297	22289
316	10319	22233
317	10338	22173
318	10360	22116
319	10402	22105
320	10491	22193
321	10516	22142
322	10536	22085
323	10560	22033
324	10582	21979
325	10600	21916
326	10616	21849
327	10629	21776
328	10645	21712
329	10754	21834
330	10776	21780
331	10796	21723
332	10816	21665
333	10834	21604
334	10854	21546
335	10871	21483
336	10940	21523
337	10992	21529
338	11015	21478
339	11036	21424
340	11055	21364
341	11072	21303
342	11091	21245
343	11109	21185
344	11232	21325
345	11253	21271
346	11270	21210
347	11287	21148
348	11306	21090
349	11325	21032
350	11425	21125
351	11446	21072
352	11467	21017
353	11485	20958
354	11502	20899
355	11521	20841
356	11540	20786
357	11559	20729
358	11641	20785
359	11683	20771
360	11707	20722
361	11727	20669
362	11749	20617
363	11768	20563
364	11787	20507
365	11895	20605
366	11919	20558
367	11942	20509
368	11963	20458
369	11982	20401
370	12002	20348
371	12021	20293
372	12039	20238
373	12142	20324
374	12168	20281
375	12190	20231
376	12211	20179
377	12230	20124
378	12247	20067
379	12349	20149
380	12444	20218
381	12466	20168
382	12480	20105
383	12586	20190
384	12609	20142
385	12631	20091
386	12643	20027
387	12658	19966
388	12676	19911
389	12699	19863
390	12801	19938
391	12824	19890
392	12844	19838
393	12859	19779
394	12872	19716
395	12885	19652
396	12901	19596
397	13011	19680
398	13035	19634
399	13063	19595
400	13083	19543
401	13102	19491
